CustomerID,Segment,Recency,Frequency,Monetary,AvgOrderValue,InterPurchaseStd,ProductDiversity,TenureDays,Country
12401,Hibernating,303,1,69.3,69.3,,4,0,Belgium
12402,At Risk,323,6,1136.9,189.48,6.7,42,347,Belgium
12403,New Customers,50,2,947.36,473.68,,4,471,Denmark
12405,Hibernating,149,1,1390.39,1390.39,,53,0,Finland
12406,Champions,22,5,6390.36,1278.07,43.8,114,675,Denmark
12407,At Risk,50,5,1507.12,301.42,28.4,56,214,Belgium
12408,Champions,33,8,3905.77,488.22,35.1,103,465,Belgium
12409,Champions,79,7,23419.29,3345.61,81.2,177,486,Switzerland
12410,At Risk,309,3,773.71,257.9,97.0,35,193,Switzerland
12411,Hibernating,410,1,346.9,346.9,,22,0,Australia
12412,At Risk,75,6,2404.93,400.82,72.1,81,464,Denmark
12413,At Risk,67,4,871.45,217.86,43.6,40,335,France
12414,At Risk,217,4,532.41,133.1,58.4,19,246,Austria
12415,Champions,24,24,144033.37,6001.39,23.7,496,503,Australia
12416,Hibernating,657,1,202.56,202.56,,11,0,Australia
12417,Champions,3,20,6017.91,300.9,20.5,269,730,Belgium
12418,At Risk,113,4,2021.2,505.3,101.1,90,517,Switzerland
12419,Hibernating,386,2,391.01,195.5,,22,27,Spain
12420,New Customers,64,1,600.39,600.39,,29,0,Cyprus
12421,New Customers,16,6,874.6,145.77,27.9,43,489,Spain
12422,At Risk,96,12,3639.35,303.28,37.5,135,625,Switzerland
12423,Champions,1,10,2301.39,230.14,30.9,127,465,Belgium
12424,At Risk,163,4,3340.03,835.01,106.2,78,385,Australia
12425,At Risk,78,2,1741.41,870.7,,87,370,Portugal
12426,At Risk,195,2,1201.21,600.6,,72,468,Germany
12427,New Customers,22,3,949.3,316.43,136.0,25,349,Germany
12428,Champions,26,8,6405.26,800.66,35.3,256,257,Finland
12429,Champions,9,8,6979.91,872.49,58.9,123,537,Denmark
12430,New Customers,43,1,216.4,216.4,,10,0,Norway
12431,Champions,36,25,10527.97,421.12,22.6,243,658,Australia
12432,At Risk,43,4,4359.32,1089.83,61.3,106,129,Norway
12433,Champions,1,10,20581.26,2058.13,80.2,285,476,Norway
12434,At Risk,85,3,1103.43,367.81,27.5,62,296,Australia
12435,At Risk,80,6,13925.93,2320.99,38.9,88,657,Denmark
12436,Hibernating,100,1,429.01,429.01,,15,0,Norway
12437,Champions,2,38,11282.4,296.91,18.2,272,735,France
12438,New Customers,14,2,2466.85,1233.42,,83,125,Norway
12439,Hibernating,683,2,1158.18,579.09,,69,43,Cyprus
12440,Hibernating,462,2,739.2,369.6,,20,255,Austria
12441,Hibernating,367,1,311.1,311.1,,10,0,France
12442,New Customers,3,1,144.06,144.06,,11,0,Spain
12443,Hibernating,732,1,365.31,365.31,,20,0,Norway
12444,Champions,21,5,4085.46,817.09,8.2,137,149,Norway
12445,New Customers,22,2,378.98,189.49,,23,398,Spain
12446,New Customers,58,1,1002.31,1002.31,,57,0,RSA
12447,Hibernating,243,1,431.49,431.49,,25,0,Belgium
12448,New Customers,44,1,365.45,365.45,,21,0,Spain
12449,Champions,22,5,4274.89,854.98,85.6,124,416,Belgium
12450,At Risk,156,5,688.2,137.64,85.6,31,318,Spain
12451,Champions,11,8,12629.88,1578.74,55.9,351,518,Switzerland
12452,New Customers,17,1,348.57,348.57,,20,0,Switzerland
12453,Hibernating,134,1,707.09,707.09,,43,0,Austria
12454,At Risk,56,4,16459.78,4114.94,153.8,23,364,Spain
12455,At Risk,73,9,5722.95,635.88,43.1,198,648,Cyprus
12456,At Risk,44,3,2581.04,860.35,18.0,104,210,Switzerland
12457,At Risk,66,7,2555.91,365.13,79.2,62,368,Switzerland
12458,At Risk,71,4,1502.49,375.62,62.5,70,416,Switzerland
12459,Hibernating,605,1,398.36,398.36,,22,0,Spain
12460,Hibernating,456,1,296.65,296.65,,17,0,Belgium
12461,Hibernating,155,1,626.88,626.88,,34,0,Switzerland
12462,New Customers,19,2,937.59,468.79,,50,284,Spain
12463,At Risk,53,4,1200.78,300.2,42.0,64,188,Belgium
12464,New Customers,10,8,957.05,119.63,30.6,5,299,Belgium
12465,New Customers,17,2,682.19,341.1,,45,152,Belgium
12467,Hibernating,423,1,132.8,132.8,,9,0,USA
12468,At Risk,188,5,3238.74,647.75,54.1,126,495,Germany
12469,At Risk,523,2,3070.54,1535.27,,76,14,Thailand
12470,Hibernating,690,1,211.95,211.95,,23,0,Unspecified
12471,Champions,2,71,35145.5,495.01,12.3,252,730,Germany
12472,Champions,32,19,16494.59,868.14,22.4,396,693,Germany
12473,At Risk,54,3,2596.23,865.41,8.0,138,138,Germany
12474,Champions,17,29,11362.45,391.81,16.7,368,649,Germany
12475,New Customers,54,2,1065.64,532.82,,53,356,Germany
12476,Champions,16,18,12351.41,686.19,22.9,357,486,Germany
12477,Champions,23,9,20276.37,2252.93,44.3,295,600,Germany
12478,New Customers,4,1,545.99,545.99,,35,0,Greece
12479,New Customers,11,1,473.2,473.2,,30,0,Germany
12480,Champions,28,7,4834.85,690.69,32.3,176,479,Germany
12481,Champions,23,14,11191.39,799.38,44.9,247,584,Germany
12482,Champions,576,27,21941.72,812.66,9.2,41,77,Sweden
12483,Champions,17,19,4092.58,215.4,31.5,67,660,Sweden
12484,Champions,35,9,5573.15,619.24,59.9,328,645,Spain
12485,Hibernating,529,1,708.1,708.1,,34,0,Sweden
12486,Hibernating,432,1,917.28,917.28,,48,0,Sweden
12487,Hibernating,731,1,285.3,285.3,,2,0,Sweden
12488,New Customers,10,3,1244.66,414.89,3.0,45,65,France
12489,Hibernating,336,1,298.93,298.93,,14,0,France
12490,Champions,5,20,8764.64,438.23,27.4,194,733,France
12491,New Customers,39,1,424.4,424.4,,24,0,France
12492,New Customers,63,3,607.21,202.4,128.0,37,340,Germany
12493,Hibernating,166,2,379.74,189.87,,18,31,France
12494,Champions,16,9,1602.87,178.1,50.4,82,560,France
12495,Hibernating,641,1,277.4,277.4,,16,0,Sweden
12496,Hibernating,620,2,54.09,27.04,,10,0,Spain
12497,At Risk,82,3,5996.5,1998.83,37.5,40,563,Germany
12498,New Customers,21,3,349.7,116.57,18.0,20,36,Germany
12499,Hibernating,560,1,357.72,357.72,,26,0,Germany
12500,Champions,23,18,5559.21,308.85,34.0,87,650,Germany
12501,At Risk,337,1,2025.39,2025.39,,148,0,Germany
12502,At Risk,96,5,2995.87,599.17,22.1,101,214,Spain
12503,Hibernating,584,1,896.0,896.0,,1,0,Spain
12504,New Customers,18,4,689.05,172.26,153.4,10,578,Germany
12505,Hibernating,409,1,787.2,787.2,,41,0,Italy
12506,Hibernating,233,1,73.5,73.5,,23,0,France
12507,At Risk,134,4,1508.06,377.02,108.3,45,450,Spain
12508,New Customers,26,2,398.27,199.14,,57,2,France
12509,Hibernating,284,1,158.5,158.5,,6,0,France
12510,At Risk,143,7,3039.03,434.15,64.7,92,592,Spain
12511,At Risk,429,1,3084.02,3084.02,,190,0,Greece
12512,Hibernating,66,2,138.03,69.02,,31,0,Israel
12513,Hibernating,113,1,558.29,558.29,,34,0,France
12514,At Risk,267,2,1597.76,798.88,,76,374,Italy
12515,Hibernating,353,1,278.7,278.7,,15,0,Italy
12516,At Risk,78,4,2288.62,572.16,60.1,48,521,Germany
12517,New Customers,28,4,2322.84,580.71,7.8,231,161,Germany
12518,New Customers,1,5,1840.89,368.18,5.2,83,109,Germany
12519,New Customers,64,2,636.54,318.27,,33,413,Germany
12520,At Risk,79,5,2346.26,469.25,20.2,120,194,Germany
12521,Hibernating,143,1,545.68,545.68,,37,0,Germany
12522,New Customers,39,2,156.72,78.36,,10,12,Germany
12523,Champions,19,23,4030.15,175.22,25.7,175,712,France
12524,Champions,9,17,9794.11,576.12,33.3,156,660,Germany
12525,At Risk,498,3,883.73,294.58,16.5,55,149,France
12526,New Customers,1,3,1172.66,390.89,6.0,63,93,Germany
12527,At Risk,82,5,717.51,143.5,80.5,25,447,Germany
12528,New Customers,9,6,1645.48,274.25,34.1,49,303,Germany
12529,Hibernating,528,1,316.48,316.48,,21,0,France
12530,At Risk,60,9,3381.26,375.7,32.5,93,582,Germany
12531,New Customers,15,2,1771.2,885.6,,125,671,Germany
12532,New Customers,30,1,313.83,313.83,,15,0,France
12533,Hibernating,628,2,1223.89,611.94,,62,110,Germany
12534,Hibernating,131,1,981.18,981.18,,62,0,Germany
12535,New Customers,92,2,716.35,358.17,,28,94,France
12536,At Risk,59,1,4279.71,4279.71,,259,0,France
12537,Hibernating,409,1,612.94,612.94,,42,0,Sweden
12538,New Customers,29,2,640.45,320.23,,33,349,Spain
12539,Champions,22,7,11186.75,1598.11,104.1,275,694,Spain
12540,Champions,20,32,19250.49,601.58,14.5,353,712,Spain
12541,New Customers,30,3,841.18,280.39,18.5,45,251,Spain
12542,Hibernating,484,2,481.88,240.94,,39,156,Spain
12543,Hibernating,448,1,840.25,840.25,,42,0,Spain
12544,New Customers,36,1,316.7,316.7,,18,0,Spain
12545,New Customers,75,2,832.39,416.2,,41,184,Spain
12546,New Customers,47,2,1021.5,510.75,,58,31,Spain
12547,Hibernating,198,3,299.58,99.86,68.5,12,302,Spain
12548,Hibernating,166,1,67.2,67.2,,4,0,Spain
12549,At Risk,576,5,1570.68,314.14,42.9,37,121,USA
12550,New Customers,79,1,824.83,824.83,,56,0,Spain
12551,Hibernating,358,1,168.0,168.0,,10,0,Spain
12552,New Customers,40,1,317.82,317.82,,19,0,Italy
12553,Champions,8,12,4104.75,342.06,14.5,108,415,France
12554,Hibernating,449,1,384.5,384.5,,25,0,Spain
12556,New Customers,50,2,603.71,301.86,,100,100,Spain
12557,Champions,16,8,18716.14,2339.52,44.0,15,706,Spain
12558,New Customers,8,1,269.96,269.96,,11,0,USA
12559,Hibernating,311,2,525.71,262.86,,20,8,Germany
12560,New Customers,5,2,1918.01,959.0,,90,137,Germany
12561,Hibernating,303,1,238.85,238.85,,16,0,Germany
12562,Champions,8,9,4426.92,491.88,52.0,112,427,France
12563,Hibernating,409,1,221.24,221.24,,12,0,Italy
12564,Hibernating,261,1,402.9,402.9,,20,0,France
12565,Hibernating,289,1,145.92,145.92,,9,0,Saudi Arabia
12566,Hibernating,86,1,297.65,297.65,,18,0,Germany
12567,Champions,23,15,12467.86,831.19,36.0,364,644,France
12568,Hibernating,645,1,52.0,52.0,,4,0,Germany
12569,Champions,2,32,3152.69,98.52,9.0,91,250,Germany
12571,New Customers,40,2,519.61,259.8,,31,81,France
12572,New Customers,9,2,912.42,456.21,,52,43,Germany
12573,At Risk,227,5,717.41,143.48,56.8,107,237,France
12574,Hibernating,316,1,182.45,182.45,,10,0,France
12575,Hibernating,457,2,568.82,284.41,,33,69,France
12576,At Risk,36,8,2062.72,257.84,11.7,113,490,Poland
12577,At Risk,35,8,1649.8,206.22,142.9,258,700,France
12578,New Customers,21,4,4026.45,1006.61,119.0,148,422,Italy
12579,Hibernating,78,1,386.42,386.42,,28,0,France
12580,At Risk,247,2,962.9,481.45,,51,329,Germany
12581,New Customers,40,1,179.71,179.71,,14,0,Germany
12582,At Risk,239,4,1820.4,455.1,45.4,87,338,Finland
12583,Champions,3,27,13295.44,492.42,17.9,140,730,France
12584,Champions,4,9,2254.15,250.46,26.6,43,276,Italy
12585,At Risk,234,2,1824.1,912.05,,76,117,Germany
12586,New Customers,17,4,2062.67,515.67,139.5,82,706,Italy
12587,New Customers,8,1,104.0,104.0,,3,0,Finland
12588,New Customers,39,3,718.78,239.59,81.0,30,558,Finland
12589,At Risk,29,6,3294.91,549.15,105.5,119,660,France
12590,At Risk,211,1,9341.26,9341.26,,67,0,Germany
12591,At Risk,317,3,1128.15,376.05,27.5,62,91,Italy
12592,At Risk,92,4,1723.64,430.91,125.8,40,427,Germany
12593,Hibernating,109,3,382.1,127.37,34.0,13,110,France
12594,Champions,38,14,4890.11,349.29,27.5,77,608,Italy
12595,Hibernating,505,1,281.02,281.02,,18,0,Germany
12596,New Customers,51,2,450.27,225.14,,24,190,Spain
12597,New Customers,19,4,3195.22,798.8,49.8,183,248,Spain
12598,Champions,10,10,4192.09,419.21,64.9,129,639,France
12599,Champions,29,13,2026.72,155.9,27.9,46,548,France
12600,Champions,29,20,4444.35,222.22,22.8,51,703,Germany
12601,At Risk,190,6,573.26,95.54,19.3,23,214,Germany
12602,Hibernating,59,1,153.12,153.12,,12,0,France
12603,New Customers,22,1,613.2,613.2,,1,0,Germany
12604,Hibernating,79,2,236.18,118.09,,14,182,France
12605,At Risk,376,3,1124.95,374.98,6.0,62,81,Germany
12607,New Customers,60,1,1579.51,1579.51,,101,0,USA
12608,Hibernating,405,1,415.79,415.79,,16,0,United Kingdom
12609,At Risk,78,9,3021.86,335.76,27.5,128,641,Germany
12610,New Customers,23,4,1747.54,436.88,18.7,84,103,Italy
12611,New Customers,52,1,1193.32,1193.32,,65,0,Italy
12612,New Customers,74,1,668.04,668.04,,18,0,Germany
12613,Champions,57,9,6295.07,699.45,42.0,217,668,Germany
12614,Hibernating,278,1,315.6,315.6,,20,0,Germany
12615,Champions,2,8,5362.98,670.37,75.3,197,629,France
12616,At Risk,95,3,1023.1,341.03,55.5,31,293,France
12617,New Customers,29,1,355.53,355.53,,39,0,France
12618,New Customers,22,1,137.31,137.31,,10,0,Italy
12619,Champions,16,9,3085.7,342.86,93.0,53,544,Germany
12620,New Customers,15,3,1303.41,434.47,29.0,88,189,France
12621,Champions,2,35,22525.81,643.59,14.4,343,666,Germany
12622,Hibernating,232,1,162.1,162.1,,10,0,Germany
12623,At Risk,276,7,3315.84,473.69,33.1,111,420,Germany
12624,Hibernating,106,2,569.13,284.56,,35,71,France
12625,At Risk,212,4,4678.88,1169.72,44.4,143,384,Germany
12626,Champions,23,9,5954.48,661.61,45.2,231,303,Germany
12627,Champions,11,6,4082.53,680.42,15.8,161,129,Germany
12628,New Customers,4,3,732.46,244.15,1.0,33,60,Germany
12629,At Risk,386,2,1198.22,599.11,,39,37,Sweden
12630,New Customers,10,2,1030.88,515.44,,59,34,Finland
12631,At Risk,57,6,3321.57,553.59,140.1,130,635,Finland
12632,Hibernating,521,2,714.88,357.44,,31,44,Germany
12633,At Risk,59,7,5156.16,736.59,23.7,219,466,Germany
12634,Hibernating,548,1,360.0,360.0,,19,0,USA
12635,At Risk,90,4,2624.41,656.1,81.8,158,367,Germany
12637,Champions,67,12,8142.31,678.53,32.4,294,476,France
12638,New Customers,33,2,681.49,340.74,,46,606,Sweden
12639,At Risk,239,3,1072.37,357.46,1.5,57,389,Sweden
12640,New Customers,24,3,994.58,331.53,28.0,46,57,France
12641,Hibernating,115,1,145.9,145.9,,9,0,Sweden
12642,New Customers,25,3,905.26,301.75,16.0,38,82,Germany
12643,At Risk,128,11,7849.42,713.58,36.2,13,482,France
12644,At Risk,130,4,1900.49,475.12,118.8,105,564,Germany
12645,Champions,34,8,3215.3,401.91,46.2,110,635,Germany
12646,New Customers,5,2,1346.97,673.48,,43,44,USA
12647,Champions,22,35,14916.35,426.18,18.6,239,672,Germany
12648,At Risk,155,4,1039.0,259.75,91.8,37,546,Germany
12649,At Risk,107,8,2096.65,262.08,65.2,93,588,Germany
12650,New Customers,3,1,242.44,242.44,,19,0,France
12651,Hibernating,335,4,377.75,94.44,12.7,30,130,France
12652,Hibernating,331,2,891.03,445.52,,50,102,France
12653,At Risk,149,3,4160.83,1386.94,41.0,76,378,Israel
12654,New Customers,11,5,529.98,106.0,62.5,30,284,Germany
12655,Hibernating,424,1,243.35,243.35,,15,0,France
12656,Champions,17,8,5723.83,715.48,49.7,173,545,France
12657,New Customers,11,4,1427.18,356.8,15.9,34,67,France
12658,New Customers,19,1,632.05,632.05,,35,0,Germany
12659,New Customers,30,1,73.68,73.68,,4,0,France
12660,New Customers,11,1,227.1,227.1,,12,0,France
12661,Hibernating,436,1,162.0,162.0,,11,0,Sweden
12662,Champions,1,20,6374.02,318.7,16.6,162,617,Germany
12663,Hibernating,625,2,185.4,92.7,,8,43,Germany
12664,Champions,8,11,5420.04,492.73,71.3,9,718,Finland
12665,Hibernating,325,3,259.6,86.53,79.5,12,344,Germany
12666,Hibernating,394,1,1248.42,1248.42,,31,0,Israel
12667,New Customers,58,1,460.13,460.13,,32,0,Finland
12668,Champions,12,9,9967.68,1107.52,70.5,262,665,Germany
12669,At Risk,151,2,1427.73,713.86,,96,105,France
12670,Champions,10,7,3436.29,490.9,88.6,70,656,France
12671,At Risk,606,1,2622.48,2622.48,,44,0,Germany
12672,Hibernating,330,2,407.05,203.52,,21,265,France
12673,New Customers,5,3,1140.02,380.01,123.0,67,396,Germany
12674,At Risk,39,4,1844.6,461.15,17.3,51,169,France
12675,Hibernating,554,2,874.5,437.25,,110,24,Italy
12676,Champions,25,10,2333.09,233.31,27.0,66,458,Sweden
12677,Hibernating,555,2,359.1,179.55,,12,111,France
12678,Champions,42,15,32595.18,2173.01,26.9,197,658,France
12679,At Risk,59,4,951.02,237.76,36.4,42,225,France
12680,New Customers,1,4,790.81,197.7,25.2,32,112,France
12681,Champions,15,44,27898.28,634.05,14.4,458,711,France
12682,Champions,4,51,21693.91,425.37,11.0,326,735,France
12683,Champions,4,20,11400.78,570.04,33.7,235,722,France
12684,New Customers,8,6,2073.63,345.6,33.9,59,205,France
12685,At Risk,28,6,2575.08,429.18,8.2,116,65,France
12686,Hibernating,372,1,142.28,142.28,,6,0,France
12687,Hibernating,481,1,1858.91,1858.91,,125,0,Sweden
12688,At Risk,114,1,4873.81,4873.81,,171,0,Israel
12689,New Customers,26,2,1139.61,569.8,,56,101,France
12690,Hibernating,206,1,335.01,335.01,,15,0,France
12691,New Customers,28,6,1044.4,174.07,51.8,23,392,France
12692,Hibernating,637,1,110.95,110.95,,13,0,France
12693,At Risk,127,7,1415.02,202.15,11.9,62,395,Germany
12694,At Risk,70,3,1663.35,554.45,62.5,68,350,France
12695,New Customers,7,7,1371.12,195.87,95.0,45,658,France
12696,Hibernating,435,2,731.91,365.96,,42,74,Finland
12697,New Customers,29,3,757.59,252.53,32.5,36,140,Sweden
12698,Hibernating,590,1,285.75,285.75,,15,0,Germany
12699,Hibernating,418,1,566.11,566.11,,40,0,Germany
12700,Champions,8,4,4525.99,1131.5,15.3,192,207,France
12701,At Risk,80,6,2248.41,374.73,104.0,117,553,Germany
12702,New Customers,20,1,201.0,201.0,,11,0,Germany
12703,At Risk,71,4,898.53,224.63,253.7,55,613,Germany
12704,Champions,7,8,1740.84,217.6,14.5,63,162,Finland
12705,Champions,15,13,11114.1,854.93,34.2,319,518,Germany
12707,Hibernating,292,1,603.42,603.42,,33,0,France
12708,Champions,30,18,4738.1,263.23,17.7,129,691,Germany
12709,Champions,15,32,30162.76,942.59,14.7,187,715,Germany
12710,At Risk,97,3,1023.02,341.01,12.5,74,104,Germany
12711,Hibernating,612,2,1213.05,606.52,,55,65,Germany
12712,Champions,29,21,6401.66,304.84,20.0,125,701,Germany
12713,New Customers,1,1,794.55,794.55,,37,0,Germany
12714,Champions,9,12,12815.71,1067.98,21.9,435,726,France
12715,Hibernating,106,1,273.86,273.86,,19,0,Sweden
12716,New Customers,4,2,963.49,481.74,,59,129,France
12717,At Risk,151,3,1058.91,352.97,125.5,59,439,Greece
12718,Hibernating,71,1,202.25,202.25,,18,0,France
12719,New Customers,5,2,572.95,286.48,,33,59,France
12720,Champions,3,29,7306.67,251.95,15.1,261,503,Germany
12721,Champions,32,8,3635.08,454.38,22.8,182,440,France
12722,At Risk,85,4,979.63,244.91,13.3,49,65,France
12723,New Customers,4,5,707.07,141.41,20.1,52,61,France
12724,Champions,5,7,2083.52,297.65,43.0,93,530,France
12725,At Risk,371,3,2278.56,759.52,63.5,91,213,Italy
12726,Champions,28,11,3690.6,335.51,27.3,62,595,France
12727,Champions,11,10,4905.53,490.55,42.9,131,644,France
12728,At Risk,71,5,926.17,185.23,63.0,47,312,France
12729,Hibernating,114,1,417.01,417.01,,25,0,France
12730,Hibernating,522,1,703.25,703.25,,46,0,Germany
12731,Champions,24,17,25631.71,1507.75,22.9,136,624,France
12732,Hibernating,180,1,218.26,218.26,,11,0,France
12733,At Risk,234,4,2424.02,606.0,34.4,116,455,USA
12734,Hibernating,353,3,603.65,201.22,2.0,16,39,France
12735,Hibernating,315,2,689.57,344.78,,37,21,France
12736,Hibernating,333,1,144.0,144.0,,3,0,France
12738,Hibernating,372,1,274.7,274.7,,10,0,Germany
12739,At Risk,99,2,2421.23,1210.62,,83,295,United Arab Emirates
12740,New Customers,64,1,427.6,427.6,,27,0,France
12741,Hibernating,533,1,236.07,236.07,,15,0,USA
12742,Hibernating,626,1,1201.52,1201.52,,67,0,United Arab Emirates
12743,Hibernating,134,2,546.43,273.22,,114,0,Unspecified
12744,Champions,56,8,13158.16,1644.77,53.3,244,534,Singapore
12745,Hibernating,487,2,723.85,361.92,,20,87,United Kingdom
12746,Hibernating,541,1,254.55,254.55,,17,0,United Kingdom
12747,Champions,2,26,9276.54,356.79,17.1,85,730,United Kingdom
12748,Champions,1,322,52194.26,162.09,3.7,2283,734,United Kingdom
12749,Champions,4,9,6847.36,760.82,61.1,259,517,United Kingdom
12750,Hibernating,129,1,275.88,275.88,,15,0,Poland
12751,Hibernating,445,1,268.27,268.27,,61,0,Brazil
12752,At Risk,81,1,4366.78,4366.78,,53,0,Norway
12753,Champions,23,6,21429.39,3571.56,38.7,132,339,Japan
12754,At Risk,236,3,3010.74,1003.58,5.5,49,72,Japan
12755,At Risk,281,11,9030.66,820.97,43.5,34,413,Japan
12756,Hibernating,87,1,112.08,112.08,,4,0,Japan
12757,Champions,16,9,4199.2,466.58,24.0,235,195,Portugal
12758,At Risk,117,7,9903.24,1414.75,55.2,187,621,Portugal
12759,Champions,52,8,4618.74,577.34,40.2,205,683,Netherlands
12760,Hibernating,456,1,317.8,317.8,,20,0,Netherlands
12761,Hibernating,465,1,712.95,712.95,,25,0,Netherlands
12762,New Customers,8,2,1702.52,851.26,,61,17,Portugal
12763,At Risk,138,2,814.16,407.08,,16,230,Japan
12764,Hibernating,317,1,1693.88,1693.88,,45,0,Lebanon
12765,At Risk,472,6,1299.58,216.6,14.0,48,169,Netherlands
12766,Champions,4,9,9116.28,1012.92,26.4,252,403,Portugal
12767,Hibernating,376,1,949.82,949.82,,43,0,Korea
12768,Hibernating,451,1,168.69,168.69,,10,0,Korea
12769,Hibernating,239,1,1143.6,1143.6,,32,0,Brazil
12770,At Risk,211,2,3246.45,1623.22,,19,245,Japan
12771,Hibernating,486,1,226.3,226.3,,14,0,Portugal
12772,New Customers,60,1,752.47,752.47,,54,0,Portugal
12773,Hibernating,564,1,124.25,124.25,,6,0,Portugal
12774,Hibernating,536,1,83.7,83.7,,5,0,Netherlands
12775,New Customers,17,7,1551.12,221.59,52.3,54,392,Netherlands
12776,Hibernating,668,1,27.5,27.5,,3,0,Portugal
12777,Hibernating,458,1,519.45,519.45,,26,0,United Kingdom
12778,Champions,20,9,1541.68,171.3,42.4,76,583,Netherlands
12779,Champions,38,14,6722.27,480.16,41.5,142,699,Poland
12780,Hibernating,599,1,322.4,322.4,,19,0,Netherlands
12781,New Customers,64,2,786.74,393.37,,24,221,Czech Republic
12782,Champions,5,11,3862.24,351.11,42.2,141,514,Portugal
12783,New Customers,2,4,1295.87,323.97,4.5,74,73,Portugal
12784,New Customers,15,2,1552.75,776.38,,120,513,Portugal
12785,At Risk,364,3,904.4,301.47,12.5,41,366,Portugal
12786,Hibernating,610,1,668.5,668.5,,17,0,Netherlands
12787,New Customers,10,4,799.18,199.8,61.5,29,403,Netherlands
12788,Hibernating,463,4,384.9,96.22,12.5,19,65,Netherlands
12789,New Customers,65,3,225.35,75.12,133.0,4,628,Netherlands
12790,Hibernating,192,2,546.85,273.42,,35,218,Netherlands
12791,At Risk,374,5,834.43,166.89,84.3,15,250,Netherlands
12792,Hibernating,257,2,715.01,357.5,,38,278,Portugal
12793,At Risk,335,3,849.33,283.11,3.5,33,66,Portugal
12794,New Customers,53,2,860.41,430.2,,43,45,Portugal
12795,New Customers,19,1,318.48,318.48,,13,0,Portugal
12796,Hibernating,628,1,351.0,351.0,,6,0,Netherlands
12797,Hibernating,366,2,694.11,347.06,,26,58,Portugal
