CustomerID,Segment,Country,Recency,Frequency,Monetary,AvgOrderValue,InterPurchaseStd,ProductDiversity,TenureDays,Z_Recency,Z_Frequency,Z_Monetary,DistToCentroid,DistToRival,NearestRival,BoundaryMargin,Silhouette,Cohesion,IsBorderline
12414,At Risk,Austria,217,4,532.41,133.1,58.4,19,246,0.601,0.077,-0.397,0.883,1.102,Hibernating,0.445,0.12,Borderline,1
12415,Champions,Australia,24,24,144033.37,6001.39,23.7,496,503,-0.789,2.07,3.651,2.381,3.862,At Risk,0.381,0.333,Settled,0
12416,Hibernating,Australia,657,1,202.56,202.56,,11,0,1.31,-1.057,-1.093,0.512,2.234,At Risk,0.186,0.649,Core,0
12417,Champions,Belgium,3,20,6017.91,300.9,20.5,269,730,-1.966,1.854,1.355,0.89,2.895,New Customers,0.235,0.536,Core,0
12418,At Risk,Switzerland,113,4,2021.2,505.3,101.1,90,517,0.185,0.077,0.567,0.325,1.398,New Customers,0.189,0.466,Settled,0
12419,Hibernating,Spain,386,2,391.01,195.5,,22,27,0.969,-0.555,-0.619,0.427,1.469,At Risk,0.225,0.51,Core,0
12420,New Customers,Cyprus,64,1,600.39,600.39,,29,0,-0.176,-1.057,-0.31,1.037,1.224,Hibernating,0.459,0.08,Borderline,1
12421,New Customers,Spain,16,6,874.6,145.77,27.9,43,489,-1.037,0.494,-0.038,0.839,1.517,At Risk,0.356,0.313,Settled,0
12422,At Risk,Switzerland,96,12,3639.35,303.28,37.5,135,625,0.081,1.26,0.992,1.161,1.298,Champions,0.472,0.145,Borderline,1
12423,Champions,Belgium,1,10,2301.39,230.14,30.9,127,465,-2.41,1.053,0.661,1.533,2.232,New Customers,0.407,0.229,Borderline,1
12424,At Risk,Australia,163,4,3340.03,835.01,106.2,78,385,0.418,0.077,0.93,0.54,1.797,New Customers,0.231,0.506,Core,0
12425,At Risk,Portugal,78,2,1741.41,870.7,,87,370,-0.051,-0.555,0.459,0.954,1.121,New Customers,0.46,0.11,Borderline,1
12426,At Risk,Germany,195,2,1201.21,600.6,,72,468,0.532,-0.555,0.191,0.891,1.187,Hibernating,0.429,0.14,Borderline,1
12427,New Customers,Germany,22,3,949.3,316.43,136.0,25,349,-0.843,-0.199,0.021,0.289,1.39,At Risk,0.172,0.437,Settled,0
12428,Champions,Finland,26,8,6405.26,800.66,35.3,256,257,-0.74,0.805,1.401,0.834,1.574,At Risk,0.346,0.262,Settled,0
12429,Champions,Denmark,9,8,6979.91,872.49,58.9,123,537,-1.377,0.805,1.463,0.781,2.094,New Customers,0.272,0.424,Settled,0
12430,New Customers,Norway,43,1,216.4,216.4,,10,0,-0.426,-1.057,-1.046,1.192,1.326,Hibernating,0.473,0.063,Borderline,1
12431,Champions,Australia,36,25,10527.97,421.12,22.6,243,658,-0.538,2.118,1.76,0.924,2.442,At Risk,0.275,0.443,Settled,0
12432,At Risk,Norway,43,4,4359.32,1089.83,61.3,106,129,-0.426,0.077,1.122,1.09,1.492,New Customers,0.422,0.214,Borderline,1
12433,Champions,Norway,1,10,20581.26,2058.13,80.2,285,476,-2.41,1.053,2.244,1.63,3.218,New Customers,0.336,0.405,Settled,0
12434,At Risk,Australia,85,3,1103.43,367.81,27.5,62,296,0.004,-0.199,0.129,0.694,0.973,New Customers,0.416,0.18,Borderline,1
12435,At Risk,Denmark,80,6,13925.93,2320.99,38.9,88,657,-0.035,0.494,1.962,1.599,1.633,Champions,0.495,0.074,Borderline,1
12436,Hibernating,Norway,100,1,429.01,429.01,,15,0,0.107,-1.057,-0.553,0.869,1.284,New Customers,0.403,0.252,Settled,0
12437,Champions,France,2,38,11282.4,296.91,18.2,272,735,-2.15,2.62,1.81,1.553,3.712,At Risk,0.295,0.507,Core,0
12438,New Customers,Norway,14,2,2466.85,1233.42,,83,125,-1.117,-0.555,0.711,1.013,1.751,At Risk,0.367,0.309,Settled,0
12439,Hibernating,Cyprus,683,2,1158.18,579.09,,69,43,1.335,-0.555,0.164,1.201,1.295,At Risk,0.481,0.086,Borderline,1
12440,Hibernating,Austria,462,2,739.2,369.6,,20,255,1.084,-0.555,-0.16,0.83,1.244,At Risk,0.4,0.276,Settled,0
12441,Hibernating,France,367,1,311.1,311.1,,10,0,0.937,-1.057,-0.784,0.236,1.897,At Risk,0.111,0.644,Core,0
12442,New Customers,Spain,3,1,144.06,144.06,,11,0,-1.966,-1.057,-1.338,1.71,2.883,Hibernating,0.372,0.363,Settled,0
12443,Hibernating,Norway,732,1,365.31,365.31,,20,0,1.379,-1.057,-0.668,0.587,2.002,At Risk,0.227,0.589,Core,0
12444,Champions,Norway,21,5,4085.46,817.09,8.2,137,149,-0.871,0.303,1.075,1.294,1.416,At Risk,0.477,0.011,Borderline,1
12445,New Customers,Spain,22,2,378.98,189.49,,23,398,-0.843,-0.555,-0.642,0.472,1.766,Hibernating,0.211,0.491,Settled,0
12446,New Customers,RSA,58,1,1002.31,1002.31,,57,0,-0.238,-1.057,0.06,1.039,1.486,Hibernating,0.411,0.198,Borderline,1
12447,Hibernating,Belgium,243,1,431.49,431.49,,25,0,0.673,-1.057,-0.548,0.453,1.691,At Risk,0.211,0.551,Core,0
12448,New Customers,Spain,44,1,365.45,365.45,,21,0,-0.412,-1.057,-0.668,0.986,1.325,Hibernating,0.427,0.168,Borderline,1
12449,Champions,Belgium,22,5,4274.89,854.98,85.6,124,416,-0.843,0.303,1.108,1.293,1.406,At Risk,0.479,0.004,Borderline,1
12450,At Risk,Spain,156,5,688.2,137.64,85.6,31,318,0.39,0.303,-0.211,0.645,1.416,New Customers,0.313,0.376,Settled,0
12451,Champions,Switzerland,11,8,12629.88,1578.74,55.9,351,518,-1.26,0.805,1.891,0.917,2.262,At Risk,0.288,0.406,Settled,0
12452,New Customers,Switzerland,17,1,348.57,348.57,,20,0,-1.0,-1.057,-0.702,0.887,1.898,Hibernating,0.319,0.405,Settled,0
12453,Hibernating,Austria,134,1,707.09,707.09,,43,0,0.293,-1.057,-0.192,0.941,1.401,New Customers,0.402,0.276,Settled,0
12454,At Risk,Spain,56,4,16459.78,4114.94,153.8,23,364,-0.26,0.077,2.083,1.786,1.851,Champions,0.491,0.078,Borderline,1
12455,At Risk,Cyprus,73,9,5722.95,635.88,43.1,198,648,-0.093,0.935,1.319,1.198,1.203,Champions,0.499,0.08,Borderline,1
12456,At Risk,Switzerland,44,3,2581.04,860.35,18.0,104,210,-0.412,-0.199,0.744,0.99,1.101,New Customers,0.473,0.081,Borderline,1
12457,At Risk,Switzerland,66,7,2555.91,365.13,79.2,62,368,-0.157,0.659,0.736,0.726,1.453,Champions,0.333,0.391,Settled,0
12458,At Risk,Switzerland,71,4,1502.49,375.62,62.5,70,416,-0.11,0.077,0.352,0.55,1.052,New Customers,0.343,0.282,Settled,0
12459,Hibernating,Spain,605,1,398.36,398.36,,22,0,1.257,-1.057,-0.606,0.52,1.91,At Risk,0.214,0.593,Core,0
12460,Hibernating,Belgium,456,1,296.65,296.65,,17,0,1.076,-1.057,-0.819,0.291,1.963,At Risk,0.129,0.651,Core,0
12461,Hibernating,Switzerland,155,1,626.88,626.88,,34,0,0.386,-1.057,-0.279,0.818,1.479,New Customers,0.356,0.363,Settled,0
12462,New Customers,Spain,19,2,937.59,468.79,,50,284,-0.933,-0.555,0.012,0.36,1.626,At Risk,0.181,0.478,Settled,0
12463,At Risk,Belgium,53,4,1200.78,300.2,42.0,64,188,-0.295,0.077,0.191,0.758,0.829,New Customers,0.478,0.067,Borderline,1
12464,New Customers,Belgium,10,8,957.05,119.63,30.6,5,299,-1.316,0.805,0.027,1.221,1.529,Champions,0.444,0.179,Borderline,1
12465,New Customers,Belgium,17,2,682.19,341.1,,45,152,-1.0,-0.555,-0.218,0.275,1.753,At Risk,0.135,0.522,Core,0
12467,Hibernating,USA,423,1,132.8,132.8,,9,0,1.028,-1.057,-1.397,0.552,2.359,New Customers,0.19,0.655,Core,0
12468,At Risk,Germany,188,5,3238.74,647.75,54.1,126,495,0.509,0.303,0.908,0.489,1.91,New Customers,0.204,0.545,Core,0
12469,At Risk,Thailand,523,2,3070.54,1535.27,,76,14,1.164,-0.555,0.869,1.225,1.821,Hibernating,0.402,0.249,Borderline,1
12470,Hibernating,Unspecified,690,1,211.95,211.95,,23,0,1.341,-1.057,-1.061,0.528,2.225,At Risk,0.192,0.643,Core,0
12471,Champions,Germany,2,71,35145.5,495.01,12.3,252,730,-2.15,3.379,2.631,2.46,4.564,At Risk,0.35,0.429,Settled,0
12472,Champions,Germany,32,19,16494.59,868.14,22.4,396,693,-0.611,1.794,2.084,0.932,2.447,At Risk,0.276,0.439,Settled,0
12473,At Risk,Germany,54,3,2596.23,865.41,8.0,138,138,-0.283,-0.199,0.748,0.89,1.166,New Customers,0.433,0.166,Borderline,1
12474,Champions,Germany,17,29,11362.45,391.81,16.7,368,649,-1.0,2.296,1.815,0.895,2.804,At Risk,0.242,0.513,Core,0
12475,New Customers,Germany,54,2,1065.64,532.82,,53,356,-0.283,-0.555,0.104,0.741,1.13,At Risk,0.396,0.198,Borderline,1
12476,Champions,Germany,16,18,12351.41,686.19,22.9,357,486,-1.037,1.73,1.875,0.562,2.488,At Risk,0.184,0.524,Core,0
12477,Champions,Germany,23,9,20276.37,2252.93,44.3,295,600,-0.815,0.935,2.234,1.111,2.261,At Risk,0.33,0.344,Settled,0
12478,New Customers,Greece,4,1,545.99,545.99,,35,0,-1.822,-1.057,-0.379,1.207,2.715,At Risk,0.308,0.475,Settled,0
12479,New Customers,Germany,11,1,473.2,473.2,,30,0,-1.26,-1.057,-0.482,0.872,2.187,Hibernating,0.285,0.47,Settled,0
12480,Champions,Germany,28,7,4834.85,690.69,32.3,176,479,-0.694,0.659,1.197,0.996,1.377,At Risk,0.42,0.126,Borderline,1
12481,Champions,Germany,23,14,11191.39,799.38,44.9,247,584,-0.815,1.437,1.804,0.558,2.156,At Risk,0.206,0.467,Settled,0
12482,Champions,Sweden,576,27,21941.72,812.66,9.2,41,77,1.225,2.21,2.291,2.625,2.799,At Risk,0.484,0.026,Borderline,1
12483,Champions,Sweden,17,19,4092.58,215.4,31.5,67,660,-1.0,1.794,1.077,0.401,2.147,At Risk,0.157,0.497,Settled,0
12484,Champions,Spain,35,9,5573.15,619.24,59.9,328,645,-0.555,0.935,1.3,0.837,1.436,At Risk,0.368,0.211,Borderline,1
12485,Hibernating,Sweden,529,1,708.1,708.1,,34,0,1.171,-1.057,-0.191,0.794,1.678,At Risk,0.321,0.445,Settled,0
12486,Hibernating,Sweden,432,1,917.28,917.28,,48,0,1.041,-1.057,-0.004,0.934,1.559,At Risk,0.375,0.347,Settled,0
12487,Hibernating,Sweden,731,1,285.3,285.3,,2,0,1.378,-1.057,-0.847,0.541,2.105,At Risk,0.204,0.62,Core,0
12488,New Customers,France,10,3,1244.66,414.89,3.0,45,65,-1.316,-0.199,0.216,0.638,1.789,At Risk,0.263,0.456,Settled,0
12489,Hibernating,France,336,1,298.93,298.93,,14,0,0.88,-1.057,-0.813,0.215,1.9,At Risk,0.102,0.645,Core,0
12490,Champions,France,5,20,8764.64,438.23,27.4,194,733,-1.705,1.854,1.627,0.707,2.875,At Risk,0.197,0.563,Core,0
12491,New Customers,France,39,1,424.4,424.4,,24,0,-0.488,-1.057,-0.56,0.908,1.421,Hibernating,0.39,0.244,Borderline,1
12492,New Customers,Germany,63,3,607.21,202.4,128.0,37,340,-0.186,-0.199,-0.302,0.712,1.055,At Risk,0.403,0.174,Borderline,1
12493,Hibernating,France,166,2,379.74,189.87,,18,31,0.43,-0.555,-0.641,0.602,1.368,At Risk,0.306,0.402,Settled,0
12494,Champions,France,16,9,1602.87,178.1,50.4,82,560,-1.037,0.935,0.399,1.135,1.406,New Customers,0.447,0.101,Borderline,1
12495,Hibernating,Sweden,641,1,277.4,277.4,,16,0,1.294,-1.057,-0.867,0.462,2.079,At Risk,0.182,0.637,Core,0
12496,Hibernating,Spain,620,2,54.09,27.04,,10,0,1.273,-0.555,-2.038,1.241,2.757,At Risk,0.31,0.508,Core,0
12497,At Risk,Germany,82,3,5996.5,1998.83,37.5,40,563,-0.019,-0.199,1.353,1.119,1.821,New Customers,0.381,0.31,Settled,0
12498,New Customers,Germany,21,3,349.7,116.57,18.0,20,36,-0.871,-0.199,-0.7,0.469,1.766,At Risk,0.21,0.487,Settled,0
12499,Hibernating,Germany,560,1,357.72,357.72,,26,0,1.207,-1.057,-0.684,0.442,1.932,At Risk,0.186,0.618,Core,0
12500,Champions,Germany,23,18,5559.21,308.85,34.0,87,650,-0.815,1.73,1.298,0.376,2.068,At Risk,0.154,0.487,Settled,0
12501,At Risk,Germany,337,1,2025.39,2025.39,,148,0,0.882,-1.057,0.568,1.44,1.484,Hibernating,0.493,-0.011,Borderline,1
12502,At Risk,Spain,96,5,2995.87,599.17,22.1,101,214,0.081,0.303,0.851,0.52,1.584,New Customers,0.247,0.468,Settled,0
12503,Hibernating,Spain,584,1,896.0,896.0,,1,0,1.234,-1.057,-0.021,0.971,1.653,At Risk,0.37,0.361,Settled,0
12504,New Customers,Germany,18,4,689.05,172.26,153.4,10,578,-0.965,0.077,-0.211,0.392,1.517,At Risk,0.205,0.447,Settled,0
12505,Hibernating,Italy,409,1,787.2,787.2,,41,0,1.006,-1.057,-0.114,0.822,1.579,At Risk,0.342,0.403,Settled,0
12506,Hibernating,France,233,1,73.5,73.5,,23,0,0.646,-1.057,-1.82,0.966,2.324,New Customers,0.294,0.523,Core,0
12507,At Risk,Spain,134,4,1508.06,377.02,108.3,45,450,0.293,0.077,0.355,0.247,1.379,New Customers,0.152,0.482,Settled,0
12508,New Customers,France,26,2,398.27,199.14,,57,2,-0.74,-0.555,-0.606,0.464,1.672,Hibernating,0.217,0.473,Settled,0
12509,Hibernating,France,284,1,158.5,158.5,,6,0,0.773,-1.057,-1.27,0.429,2.092,New Customers,0.17,0.636,Core,0
12510,At Risk,Spain,143,7,3039.03,434.15,64.7,92,592,0.335,0.659,0.862,0.568,1.781,Champions,0.242,0.516,Core,0
12511,At Risk,Greece,429,1,3084.02,3084.02,,190,0,1.037,-1.057,0.872,1.557,1.793,Hibernating,0.465,0.085,Borderline,1
12512,Hibernating,Israel,66,2,138.03,69.02,,31,0,-0.157,-0.555,-1.369,1.175,1.365,New Customers,0.463,0.123,Borderline,1
12513,Hibernating,France,113,1,558.29,558.29,,34,0,0.185,-1.057,-0.363,0.9,1.315,New Customers,0.406,0.254,Settled,0
12514,At Risk,Italy,267,2,1597.76,798.88,,76,374,0.733,-0.555,0.397,0.913,1.343,Hibernating,0.405,0.204,Borderline,1
12515,Hibernating,Italy,353,1,278.7,278.7,,15,0,0.912,-1.057,-0.864,0.202,1.942,At Risk,0.094,0.654,Core,0
12516,At Risk,Germany,78,4,2288.62,572.16,60.1,48,521,-0.051,0.077,0.657,0.538,1.288,New Customers,0.295,0.373,Settled,0
12517,New Customers,Germany,28,4,2322.84,580.71,7.8,231,161,-0.694,0.077,0.667,1.007,1.13,At Risk,0.471,0.054,Borderline,1
12518,New Customers,Germany,1,5,1840.89,368.18,5.2,83,109,-2.41,0.303,0.499,1.8,1.973,Champions,0.477,0.105,Borderline,1
12519,New Customers,Germany,64,2,636.54,318.27,,33,413,-0.176,-0.555,-0.268,0.755,1.236,At Risk,0.379,0.247,Borderline,1
12520,At Risk,Germany,79,5,2346.26,469.25,20.2,120,194,-0.043,0.303,0.675,0.496,1.389,New Customers,0.263,0.425,Settled,0
12521,Hibernating,Germany,143,1,545.68,545.68,,37,0,0.335,-1.057,-0.379,0.779,1.441,New Customers,0.351,0.363,Settled,0
12522,New Customers,Germany,39,2,156.72,78.36,,10,12,-0.488,-0.555,-1.278,1.137,1.448,Hibernating,0.44,0.143,Borderline,1
12523,Champions,France,19,23,4030.15,175.22,25.7,175,712,-0.933,2.019,1.066,0.596,2.267,At Risk,0.208,0.48,Settled,0
12524,Champions,Germany,9,17,9794.11,576.12,33.3,156,660,-1.377,1.663,1.708,0.446,2.576,At Risk,0.148,0.557,Core,0
12525,At Risk,France,498,3,883.73,294.58,16.5,55,149,1.132,-0.199,-0.031,1.002,1.124,Hibernating,0.471,0.057,Borderline,1
12526,New Customers,Germany,1,3,1172.66,390.89,6.0,63,93,-2.41,-0.199,0.173,1.582,2.459,Champions,0.391,0.325,Settled,0
12527,At Risk,Germany,82,5,717.51,143.5,80.5,25,447,-0.019,0.303,-0.181,0.739,1.063,New Customers,0.41,0.205,Borderline,1
12528,New Customers,Germany,9,6,1645.48,274.25,34.1,49,303,-1.377,0.494,0.418,1.148,1.425,Champions,0.446,0.175,Borderline,1
12529,Hibernating,France,528,1,316.48,316.48,,21,0,1.17,-1.057,-0.772,0.375,1.969,At Risk,0.16,0.638,Core,0
12530,At Risk,Germany,60,9,3381.26,375.7,32.5,93,582,-0.217,0.935,0.939,1.02,1.174,Champions,0.465,0.157,Borderline,1
12531,New Customers,Germany,15,2,1771.2,885.6,,125,671,-1.076,-0.555,0.471,0.78,1.693,At Risk,0.315,0.376,Settled,0
12532,New Customers,France,30,1,313.83,313.83,,15,0,-0.651,-1.057,-0.778,0.952,1.546,Hibernating,0.381,0.277,Settled,0
12533,Hibernating,Germany,628,2,1223.89,611.94,,62,110,1.281,-0.555,0.204,1.217,1.249,At Risk,0.494,0.051,Borderline,1
12534,Hibernating,Germany,131,1,981.18,981.18,,62,0,0.279,-1.057,0.045,1.138,1.407,At Risk,0.447,0.173,Borderline,1
12535,New Customers,France,92,2,716.35,358.17,,28,94,0.054,-0.555,-0.183,0.976,1.099,At Risk,0.47,0.057,Borderline,1
12536,At Risk,France,59,1,4279.71,4279.71,,259,0,-0.227,-1.057,1.109,1.629,1.683,New Customers,0.492,0.037,Borderline,1
12537,Hibernating,Sweden,409,1,612.94,612.94,,42,0,1.006,-1.057,-0.295,0.651,1.651,At Risk,0.283,0.492,Settled,0
